Id Label Weight
真君 真君 1
高阁 高阁 2
青香 青香 1
滑石 滑石 2
凌迟 凌迟 2
木桥 木桥 1
越来越近 越来越近 5
红绳 红绳 1
马上会 马上会 1
隆隆声 隆隆声 1
黑栋栋 黑栋栋 1
玄元灯 玄元灯 5
玄元 玄元 1
芦荡 芦荡 1
周植 周植 1
宫苑 宫苑 2
龙亭 龙亭 2
采取措施 采取措施 1
陈将军 陈将军 11
金明门 金明门 9
谢恩 谢恩 1
金明 金明 3
明光甲 明光甲 1
呼啸而过 呼啸而过 1
麻藤 麻藤 1
雷来 雷来 1
雷霆 雷霆 2
雷里 雷里 1
熊熊烈火 熊熊烈火 1
柳木 柳木 1
托槽里 托槽里 1
鸿鹄 鸿鹄 1
真鸟羽 真鸟羽 1
默祈 默祈 1
神智 神智 1
上楼来 上楼来 1
张开嘴 张开嘴 2
宝相 宝相 1
翠芽绿 翠芽绿 1
天潢贵胄 天潢贵胄 1
齐奏 齐奏 1
安邑 安邑 2
洪水 洪水 1
李氏 李氏 3
玄武门 玄武门 1
靖恭 靖恭 1
谷道 谷道 1
嘉许 嘉许 1
师草子 师草子 1
叶纹 叶纹 1
雷声 雷声 1
雷公 雷公 1
焦枯 焦枯 1
朱红色 朱红色 1
雷往 雷往 1
唐隆 唐隆 2
韦后 韦后 1
巨雷 巨雷 1
周全 周全 2
天赐良机 天赐良机 1
帝王 帝王 4
司内刚 司内刚 1
李隆基 李隆基 2
帝泽 帝泽 1
静谧 静谧 2
容纳 容纳 2
宿卫 宿卫 4
柳林中 柳林中 2
诸祠 诸祠 1
柳梢 柳梢 1
乌瓦 乌瓦 2
梁柱 梁柱 1
祝融 祝融 1
储君 储君 1
阴晴不定 阴晴不定 2
丘陵 丘陵 1
马车夫 马车夫 7
白虎 白虎 1
练兵 练兵 1
漆大柱 漆大柱 1
龙翔 龙翔 1
武亲卫 武亲卫 1
羽林军 羽林军 1
别军 别军 1
方方正正 方方正正 1
花畦 花畦 1
郁金香 郁金香 1
叶茂 叶茂 1
纳凉 纳凉 1
美其名曰 美其名曰 1
高翘 高翘 1
春钿 春钿 1
司同人 司同人 1
费唇舌 费唇舌 1
司被焚 司被焚 1
小文吏 小文吏 3
吉顼 吉顼 1
薛嶷 薛嶷 1
马前卒 马前卒 1
春雷 春雷 1
严正 严正 1
裨补 裨补 1
李翰林 李翰林 2
银绶 银绶 1
司诸人 司诸人 1
胡裔 胡裔 1
李府 李府 1
富豪 富豪 1
白布条 白布条 1
燕居 燕居 1
楼阙山 楼阙山 1
石屏 石屏 2
金黄 金黄 1
丁香 丁香 1
严兵 严兵 1
北辰 北辰 1
云阙 云阙 1
折罗巾 折罗巾 1
公子哥 公子哥 1
白薇根 白薇根 1
向天 向天 1
伏有 伏有 1
观音寺 观音寺 5
郭氏 郭氏 5
张弩 张弩 1
青红 青红 1
屈尊 屈尊 1
荣幸 荣幸 1
真龙 真龙 1
比真龙 比真龙 1
莫洼儿 莫洼儿 1
养驯 养驯 1
索法惠 索法惠 3
黎民 黎民 1
隋炀帝 隋炀帝 1
玉笛 玉笛 2
承平 承平 1
弓骑 弓骑 1
宫廷政变 宫廷政变 1
司之 司之 1
阳奉阴违 阳奉阴违 1
尚白 尚白 1
霍地 霍地 1
于京兆 于京兆 1
扶阑 扶阑 1
施施然 施施然 1
玄素 玄素 1
高建 高建 1
扶栏 扶栏 1
瓦起 瓦起 1
黎明 黎明 1
大了些 大了些 1
苑里 苑里 1
盖满 盖满 2
华清池 华清池 1
比翼鸟 比翼鸟 4
束冠 束冠 1
陶醉 陶醉 1
萨珊 萨珊 1
盘桓 盘桓 1
高丽 高丽 1
林邑 林邑 2
孔洞 孔洞 1
养老 养老 2
连理枝 连理枝 1
丹墀 丹墀 1
许诺 许诺 2
麻羊藤 麻羊藤 1
承载力 承载力 1
蒙羞 蒙羞 1
公正 公正 1
买卖双方 买卖双方 1
武惠妃 武惠妃 2
封皇后 封皇后 1
李瑛 李瑛 1
支勋贵 支勋贵 1
曾孙 曾孙 1
马虎 马虎 1
乌纱 乌纱 1
望仙门 望仙门 1
郭东 郭东 1
马来 马来 1
车驾 车驾 1
冰雪聪明 冰雪聪明 1
尤物 尤物 1
白发 白发 1
从自雨 从自雨 1
汝能 汝能 1
扬声 扬声 1
蒙蒙 蒙蒙 1
赫连 赫连 1
玄色 玄色 1
解旗 解旗 1
木木 木木 1
体格健壮 体格健壮 1
祖道庙 祖道庙 2
羽林 羽林 1
王登基 王登基 1
诸帝 诸帝 1
毛糙 毛糙 1
齐眉 齐眉 1
石锁 石锁 1
洪亮 洪亮 1
林愈静 林愈静 1
昨天早上 昨天早上 1
宿直 宿直 1
门仆 门仆 2
黄绿 黄绿 1
马后 马后 1
应龙旗 应龙旗 5
清香 清香 1
那川籍 那川籍 1
